f,sscd21,sscd11,sscc21,sscc11,ssdd21,ssdd11,s11,s21,s12,s22
1144288577.1543086,(-0.0048581764652858295+0.004990127359458418j),(-0.014581610085244903-0.004327320229767773j),(0.3717285185052909-0.8904948914815654j),(-0.12390444940567756-0.05289078291705633j),(0.27375372185118585-0.7839465922618813j),(-0.4815574155408955-0.16461049668719238j),(-0.2881493223880417-0.10442331957235645j),(0.048987398327052664-0.05327414960984188j),(0.0489873983270524-0.053274149609842156j),(-0.3173125425585314-0.1130779600318922j)
1152304609.218437,(-0.004445221877748401+0.005445617787495416j),(-0.014918261847786662-0.003773336179974749j),(0.32502398302584856-0.9080741162199016j),(-0.1289547993367683-0.0475440188514146j),(0.23636742788724377-0.7912936297370342j),(-0.49554454400884507-0.1454421974669779j),(-0.29733140982501993-0.09271977197922142j),(0.04432827756930231-0.05839024324143368j),(0.04432827756930258-0.058390243241433604j),(-0.3271679335205933-0.10026644433917112j)
1160320641.282565,(-0.003983206694257113+0.005853825367753196j),(-0.015201476644309833-0.003201583867248104j),(0.27754474378171995-0.9232374093564968j),(-0.133422480218928-0.041710256298199536j),(0.19938780440241174-0.7973462545870684j),(-0.5076096583033958-0.1252913096819609j),(-0.30531459261685207-0.08029919912283214j),(0.039078469689653984-0.0629455773847141j),(0.039078469689654345-0.06294557738471407j),(-0.33571754590547165-0.0867023668573287j)
1168336673.3466935,(-0.003478598354040602+0.006209600089221334j),(-0.015432097165267958-0.0026161416544842504j),(0.22941018887385142-0.9359585817064522j),(-0.13726172610114173-0.03545233396620047j),(0.16277651291680253-0.8022071387758822j),(-0.517723654137955-0.10432393310500962j),(-0.31206059295428035-0.06727199188112083j),(0.03331683797852446-0.06687572146528507j),(0.033316837978524604-0.06687572146528489j),(-0.3429247872848162-0.07250427519009005j)
1176352705.4108217,(-0.002938268021585491+0.006508665058680141j),(-0.015611027555222007-0.0020206252436474684j),(0.18073938113266813-0.9462163946902833j),(-0.14043341941114246-0.028837173231011547j),(0.12648445770685315-0.805962307983094j),(-0.5258658767520038-0.08269893294404865j),(-0.3175386205263511-0.053747427843882624j),(0.027127461712907596-0.07012704335359464j),(0.027127461712907367-0.07012704335359474j),(-0.348760675636795-0.05778867833117758j)
1184368737.4749498,(-0.002369395648056896+0.006747611616451932j),(-0.015739147016398725-0.0014182534251458972j),(0.13165101900713477-0.9539943277158531j),(-0.14290541579501315-0.021935101086780276j),(0.09045412140622508-0.8086809808483559j),(-0.5320222724112025-0.06056886691522872j),(-0.3217246970867092-0.039833730575858685j),(0.0205984488004547-0.07265667343374864j),(0.020598448800455013-0.0726566734337486j),(-0.3532029911195065-0.04267023742615038j)
1192384769.5390782,(-0.0017793856688817083+0.0069238910354808j),(-0.015817241243804667-0.0008119227773827568j),(0.08226343678674164-0.9592803790699791j),(-0.14465280565466115-0.014819154668179608j),(0.054621676844645015-0.8104155313962478j),(-0.536183918708771-0.03808112481831381j),(-0.3246011209379115-0.025638216965863995j),(0.01382087997104828-0.07443242383686567j),(0.013820879971048272-0.07443242383686559j),(-0.3562356034255206-0.02726206252062973j)
1200400801.6032064,(-0.0011757913919423317+0.0070358052662767845j),(-0.015845951295790736-0.00020428868008658336j),(0.03269463694758719-0.962066905539288j),(-0.14565811286822838-0.0075643720149006655j),(0.018918915644031357-0.8112015175314393j),(-0.5383459254041362-0.015379219218952493j),(-0.32615606784039153-0.011267506936839882j),(0.006887860651777979-0.0754326940039241j),(0.006887860651777928-0.07543269400392433j),(-0.35784797043197314-0.01167608429701299j)
1208416833.6673346,(-0.0005662458843896673+0.007082498528457104j),(-0.015825739462562563+0.00040214956241686837j),(-0.01693765316024705-0.962350504829533j),(-0.1459114312310666-0.00024707333046947383j),(-0.016724960030592352-0.8110577338125455j),(-0.5385066963982228+0.00739582377331955j),(-0.3263833243520822+0.0031722256590081864j),(-0.00010634656482736491-0.07564638550849374j),(-0.00010634656482739731-0.07564638550849376j),(-0.3580348032772072+0.00397652478384241j)
1216432865.731463,(4.160298144776503e-05+0.007063950929906415j),(-0.015756871754343163+0.0010049613720769365j),(-0.06651590848675723-0.9601319436597407j),(-0.14541049910953951+0.007055863349001154j),(-0.05238163262936229-0.8099862609778238j),(-0.536667544777821+0.03010401696255552j),(-0.32528215018933704+0.017574978783701442j),(-0.0070671379286974135-0.07507284134095842j),(-0.007067137928697429-0.07507284134095853j),(-0.3567958936980235+0.01958490152785478j)
