f,S11,S12,S21,S22
14400000.855999999,(0.14769389600337313+0.16656484462610954j),(0.09474395158057451+0.0899065688499441j),(0.09474395158057458+0.08990656884994416j),(0.14754301768437356+0.1666439241063666j)
14450000.8555,(0.14842608928366854+0.1666603955336278j),(0.09515400010999202+0.08988343464551402j),(0.09515400010999202+0.089883434645514j),(0.1482755530646758+0.16674025393056055j)
14500000.854999999,(0.14915793403137864+0.16675270628457173j),(0.09556321947153239+0.08985842344523717j),(0.09556321947153217+0.08985842344523703j),(0.1490077448036722+0.16683334082490994j)
14550000.8545,(0.14988941678991272+0.16684178521370988j),(0.09597160203266865+0.08983154545968403j),(0.09597160203266845+0.08983154545968389j),(0.14973957941121718+0.1669231930937748j)
14600000.854,(0.15062052419864766+0.16692764068948887j),(0.09637914026351845+0.08980281090787415j),(0.09637914026351885+0.08980281090787436j),(0.15047104349304016+0.16700981907557488j)
14650000.8535,(0.15135124299260333+0.1670102811131395j),(0.09678582673638562+0.08977223001637868j),(0.09678582673638565+0.0897722300163787j),(0.15120212375039993+0.16709322714191224j)
14700000.853,(0.15208156000210227+0.16708971491779467j),(0.09719165412529313+0.08973981301843077j),(0.09719165412529307+0.08973981301843073j),(0.15193280697974396+0.1671734256966928j)
14750000.8525,(0.15281146215237035+0.16716595056765995j),(0.09759661520551738+0.08970557015304895j),(0.0975966152055174+0.08970557015304889j),(0.15266308007233975+0.16725042317527528j)
14800000.852,(0.15354093646320255+0.16723899655714153j),(0.09800070285311091+0.08966951166416778j),(0.09800070285311166+0.0896695116641682j),(0.1533929300139208+0.1673242280436132j)
14850000.851499999,(0.1542699700486016+0.16730886140999454j),(0.09840391004442188+0.08963164779978088j),(0.098403910044422+0.0896316477997809j),(0.15412234388433352+0.1673948487974039j)
14900000.851,(0.15499855011636848+0.16737555367852028j),(0.09880622985560822+0.08959198881109066j),(0.09880622985560823+0.08959198881109064j),(0.15485130885714246+0.167462293961271j)
14950000.850499999,(0.15572666396775062+0.16743908194272028j),(0.0992076554621477+0.08955054495167131j),(0.09920765546214781+0.08955054495167133j),(0.1555798121992719+0.16752657208792804j)
15000000.85,(0.15645429899705052+0.16749945480948794j),(0.09960818013834201+0.08950732647663945j),(0.09960818013834222+0.08950732647663952j),(0.15630784127060712+0.16758769175737706j)
15050000.849499999,(0.15718144269123288+0.1675566809118081j),(0.10000779725681537+0.08946234364183545j),(0.10000779725681569+0.08946234364183557j),(0.15703538352364005+0.1676456615760777j)
15100000.849,(0.1579080826295254+0.16761076890796428j),(0.10040650028801142+0.08941560670301439j),(0.10040650028801146+0.08941560670301442j),(0.1577624265030431+0.16770049017617963j)
15150000.8485,(0.15863420648303908+0.16766172748073843j),(0.10080428279968155+0.08936712591504661j),(0.10080428279968169+0.08936712591504668j),(0.15848895784528702+0.16775218621472573j)
15200000.848,(0.15935980201434222+0.1677095653366552j),(0.10120113845637252+0.08931691153112856j),(0.10120113845637231+0.0893169115311284j),(0.1592149652782632+0.16780075837285535j)
15250000.8475,(0.16008485707706982+0.1677542912051982j),(0.10159706101890811+0.08926497380200257j),(0.10159706101890786+0.0892649738020024j),(0.15994043662083762+0.16784621535507102j)
15300000.847,(0.16080935961550602+0.16779591383805817j),(0.10199204434386663+0.08921132297518738j),(0.10199204434386686+0.0892113229751875j),(0.16066535978247906+0.16788856588845127j)
15350000.8465,(0.16153329766416571+0.16783444200838882j),(0.1023860823830571+0.0891559692942181j),(0.10238608238305626+0.08915596929421755j),(0.16138972276283023+0.16792781872191206j)
15400000.845999999,(0.16225665934738642+0.16786988451005613j),(0.10277916918298376+0.08909892299789307j),(0.10277916918298395+0.08909892299789318j),(0.16211351365130236+0.16796398262545853j)
15450000.8455,(0.1629794328788894+0.16790225015692223j),(0.10317129888432107+0.08904019431953694j),(0.10317129888432126+0.08904019431953705j),(0.1628367206266444+0.16799706638946324j)
15500000.844999999,(0.16370160656137173+0.16793154778210823j),(0.10356246572136969+0.0889797934862657j),(0.10356246572136929+0.08897979348626545j),(0.16355933195652556+0.16802707882393614j)
15550000.8445,(0.1644231687860674+0.1679577862372904j),(0.10395266402151845+0.08891773071826539j),(0.10395266402151866+0.08891773071826549j),(0.16428133599711212+0.16805402875781203j)
15600000.843999999,(0.16514410803230353+0.16798097439200485j),(0.10434188820470275+0.08885401622808117j),(0.10434188820470287+0.08885401622808119j),(0.16500272119263495+0.16807792503824528j)
15650000.8435,(0.16586441286709294+0.1680011211329311j),(0.10473013278285453+0.08878866021991268j),(0.1047301327828543+0.08878866021991252j),(0.16572347607495697+0.16809877652991448j)
15700000.842999998,(0.16658407194466365+0.16801823536322996j),(0.1051173923593542+0.08872167288892108j),(0.10511739235935405+0.08872167288892091j),(0.1664435892631341+0.16811659211433747j)
15750000.8425,(0.16730307400604122+0.1680323260018497j),(0.10550366162847762+0.08865306442054473j),(0.10550366162847806+0.08865306442054499j),(0.1671630494629838+0.16813138068918798j)
15800000.842,(0.16802140787858358+0.1680434019828728j),(0.10588893537484224+0.0885828449898256j),(0.10588893537484217+0.08858284498982552j),(0.16788184546663212+0.16814315116763548j)
15850000.8415,(0.16873906247555545+0.16805147225483993j),(0.10627320847284503+0.08851102476074127j),(0.10627320847284467+0.0885110247607411j),(0.16859996615208658+0.16815191247766956j)
15900000.841,(0.16945602679565758+0.16805654578011656j),(0.10665647588610552+0.08843761388555096j),(0.10665647588610529+0.08843761388555083j),(0.16931740048276864+0.1681576735614657j)
15950000.840499999,(0.17017228992258812+0.16805863153424136j),(0.10703873266690106+0.08836262250414767j),(0.10703873266690131+0.08836262250414775j),(0.17003413750708163+0.16816044337472696j)
16000000.84,(0.1708878410245768+0.16805773850529912j),(0.10741997395560292+0.0882860607434204j),(0.1074199739556024+0.08828606074342016j),(0.170750166357947+0.16816023088606188j)
16050000.839499999,(0.17160266935394305+0.16805387569328867j),(0.10780019498010536+0.08820793871662494j),(0.10780019498010501+0.08820793871662477j),(0.17146547625235173+0.1681570450763538j)
16100000.839,(0.17231676424661804+0.16804705210951848j),(0.10817939105525971+0.08812826652276526j),(0.10817939105525977+0.08812826652276529j),(0.17218005649089801+0.16815089493814023j)
16150000.838499999,(0.17303011512169725+0.1680372767759901j),(0.10855755758230051+0.08804705424598236j),(0.10855755758230051+0.08804705424598236j),(0.17289389645734823+0.16814178947500288j)
16200000.838,(0.17374271148097392+0.1680245587248017j),(0.10893469004827239+0.08796431195495255j),(0.10893469004827258+0.08796431195495265j),(0.17360698561814358+0.16812973770098108j)
16250000.837499999,(0.17445454290846565+0.16800890699756704j),(0.10931078402545526+0.08788004970229503j),(0.10931078402545519+0.08788004970229496j),(0.17431931352196922+0.1681147486399627j)
16300000.837,(0.1751655990699608+0.16799033064481944j),(0.10968583517078644+0.08779427752398793j),(0.10968583517078627+0.0877942775239878j),(0.17503086979926694+0.1680968313251139j)
16350000.8365,(0.17587586971254254+0.1679688387254466j),(0.11005983922528265+0.08770700543879356j),(0.1100598392252824+0.08770700543879338j),(0.1757416441617854+0.16807599479829574j)
16400000.836,(0.17658534466411632+0.1679444403061286j),(0.11043279201346028+0.0876182434476921j),(0.11043279201345998+0.08761824344769198j),(0.17645162640210463+0.16805224810950167j)
16450000.8355,(0.17729401383294777+0.1679171444607714j),(0.11080468944275326+0.0875280015333244j),(0.11080468944275312+0.08752800153332427j),(0.17716080639317222+0.16802560031629615j)
16500000.834999999,(0.17800186720717745+0.16788696026996952j),(0.111175527502932+0.08743628965944296j),(0.11117552750293155+0.08743628965944272j),(0.17786917408782277+0.16799606048327254j)
16550000.8345,(0.17870889485436228+0.16785389682045448j),(0.11154530226551719+0.08734311777037185j),(0.11154530226551661+0.08734311777037161j),(0.1785767195183268+0.1679636376814948j)
16600000.833999999,(0.1794150869209804+0.16781796320457465j),(0.11191400988319726+0.08724849579047514j),(0.11191400988319702+0.08724849579047499j),(0.17928343279589337+0.16792834098798157j)
16650000.8335,(0.18012043363197974+0.1677791685197565j),(0.1122816465892409+0.08715243362363398j),(0.11228164658924143+0.08715243362363416j),(0.179989304110221+0.16789017948516316j)
16700000.832999999,(0.1808249252902767+0.16773752186800295j),(0.11264820869691305+0.08705494115273245j),(0.1126482086969131+0.0870549411527324j),(0.1806943237290019+0.16784916226037985j)
16750000.8325,(0.18152855227629427+0.16769303235537408j),(0.11301369259888353+0.08695602823915011j),(0.11301369259888304+0.0869560282391498j),(0.1813984819974627+0.16780529840535532j)
16800000.832,(0.18223130504747642+0.1676457090914926j),(0.11337809476664139+0.0868557047222649j),(0.11337809476664107+0.08685570472226485j),(0.1821017693378774+0.1677585970157071j)
16850000.831499998,(0.18293317413781215+0.16759556118904728j),(0.1137414117499067+0.08675398041896419j),(0.11374141174990643+0.08675398041896401j),(0.18280417624909034+0.16770906719045134j)
16900000.831,(0.18363415015735496+0.16754259776330876j),(0.11410364017603912+0.08665086512316221j),(0.11410364017603918+0.08665086512316222j),(0.18350569330605698+0.16765671803149784j)
16950000.8305,(0.18433422379173317+0.16748682793166006j),(0.11446477674945109+0.08654636860532797j),(0.11446477674945069+0.08654636860532779j),(0.18420631115933445+0.1676015586432011j)
17000000.83,(0.18503338580168951+0.1674282608131075j),(0.11482481825101383+0.08644050061201931j),(0.11482481825101376+0.08644050061201924j),(0.18490602053463095+0.1675435981318606j)
17050000.8295,(0.18573162702257393+0.16736690552784428j),(0.11518376153747144+0.08633327086542654j),(0.11518376153747122+0.08633327086542643j),(0.18560481223231304+0.1674828456052722j)
17100000.829,(0.18642893836388283+0.16730277119677472j),(0.11554160354084696+0.08622468906292305j),(0.11554160354084703+0.08622468906292309j),(0.18630267712692505+0.16741931017227085j)
17150000.8285,(0.18712531080876604+0.16723586694107828j),(0.11589834126785398+0.08611476487662456j),(0.11589834126785398+0.08611476487662456j),(0.18699960616671932+0.16735300094227376j)
17200000.827999998,(0.18782073541354796+0.16716620188176617j),(0.11625397179930466+0.08600350795295543j),(0.11625397179930405+0.08600350795295515j),(0.18769559037316977+0.16728392702484454j)
17250000.8275,(0.18851520330725136+0.167093785139246j),(0.11660849228951929+0.08589092791222339j),(0.11660849228951861+0.08589092791222311j),(0.1883906208404823+0.16721209752926525j)
17300000.827,(0.18920870569110407+0.1670186258329025j),(0.11696189996573597+0.08577703434820222j),(0.11696189996573605+0.08577703434820222j),(0.18908468873514195+0.16713752156409026j)
17350000.8265,(0.1899012338380544+0.16694073308068638j),(0.11731419212752306+0.08566183682772201j),(0.11731419212752268+0.08566183682772184j),(0.1897777852954061+0.1670602082367449j)
17400000.825999998,(0.19059277909231792+0.1668601159986748j),(0.11766536614618324+0.08554534489026516j),(0.11766536614618307+0.08554534489026513j),(0.19046990183083304+0.16698016665311083j)
17450000.8255,(0.19128333286885632+0.16677678370070573j),(0.11801541946416855+0.0854275680475733j),(0.1180154194641702+0.08542756804757395j),(0.1911610297218179+0.16689740591710084j)
17500000.825,(0.1919728866529313+0.16669074529794717j),(0.11836434959449263+0.0853085157832606j),(0.11836434959449332+0.08530851578326092j),(0.19185116041908293+0.1668119351302935j)
17550000.8245,(0.19266143199958813+0.16660200989854168j),(0.11871215412013528+0.08518819755243114j),(0.11871215412013571+0.08518819755243126j),(0.19254028544323604+0.16672376339150202j)
17600000.824,(0.19334896053321313+0.16651058660718754j),(0.11905883069346086+0.08506662278130862j),(0.11905883069346106+0.08506662278130865j),(0.19322839638424907+0.16663289979643545j)
17650000.8235,(0.1940354639470235+0.16641648452479346j),(0.11940437703562783+0.08494380086687103j),(0.11940437703562641+0.08494380086687046j),(0.19391548490102806+0.16653935343727j)
17700000.823,(0.1947209340026086+0.16631971274808505j),(0.119748790936+0.08481974117649124j),(0.11974879093599988+0.08481974117649113j),(0.19460154272088567+0.1664431334023296j)
17750000.822499998,(0.1954053625294302+0.16622028036926753j),(0.1200920702515665+0.08469445304758882j),(0.12009207025156703+0.08469445304758898j),(0.19528656163911493+0.16634424877567036j)
17800000.822,(0.1960887414243713+0.16611819647564124j),(0.1204342129063507+0.08456794578728447j),(0.12043421290635103+0.0845679457872846j),(0.1959705335184668+0.1662427086367698j)
17850000.8215,(0.1967710626512297+0.1660134701492817j),(0.12077521689082742+0.08444022867206333j),(0.12077521689082826+0.08444022867206365j),(0.19665345028870293+0.16613852206014568j)
17900000.821,(0.19745231824026246+0.1659061104666757j),(0.12111508026134062+0.08431131094744723j),(0.1211150802613408+0.08431131094744729j),(0.19733530394612014+0.1660316981150149j)
17950000.820499998,(0.19813250028770688+0.16579612649838946j),(0.1214538011395181+0.08418120182766994j),(0.12145380113951848+0.08418120182767003j),(0.1980160865530627+0.1659222458649675j)
18000000.82,(0.1988116009552842+0.1656835273087595j),(0.1217913777116952+0.08404991049536299j),(0.12179137771169483+0.08404991049536276j),(0.19869579023745054+0.1658101743676334j)
18050000.8195,(0.19948961246977334+0.1655683219555224j),(0.12212780822832653+0.08391744610124584j),(0.12212780822832575+0.0839174461012455j),(0.19937440719233393+0.16569549267433087j)
18100000.819,(0.20016652712247537+0.1654505194895595j),(0.12246309100341544+0.08378381776382379j),(0.12246309100341495+0.08378381776382357j),(0.2000519296753712+0.16557820982980145j)
18150000.8185,(0.20084233726880277+0.16533012895452717j),(0.12279722441392887+0.08364903456909342j),(0.12279722441392925+0.0836490345690935j),(0.20072835000842054+0.16545833487182846j)
18200000.818,(0.20151703532775456+0.16520715938660202j),(0.12313020689922663+0.08351310557025261j),(0.12313020689922645+0.08351310557025257j),(0.20140366057701886+0.1653358768309906j)
18250000.8175,(0.20219061378149547+0.1650816198141394j),(0.12346203696048011+0.08337603978741819j),(0.1234620369604798+0.08337603978741806j),(0.20207785382993723+0.16521084473033176j)
18300000.816999998,(0.20286306517485156+0.16495351925741286j),(0.12379271316010232+0.08323784620735086j),(0.12379271316010095+0.08323784620735039j),(0.20275092227872663+0.16508324758505785j)
18350000.8165,(0.20353438211486372+0.16482286672830834j),(0.12412223412117236+0.08309853378318438j),(0.1241222341211728+0.08309853378318449j),(0.20342285849721137+0.16495309440228745j)
18400000.816,(0.20420455727030315+0.16468967123006348j),(0.12445059852686946+0.0829581114341647j),(0.12445059852686956+0.08295811143416483j),(0.20409365512107697+0.16482039418071928j)
18450000.8155,(0.20487358337123152+0.16455394175696586j),(0.12477780511989704+0.08281658804539134j),(0.12477780511989589+0.08281658804539094j),(0.20476330484736333+0.16468515591039698j)
18500000.814999998,(0.20554145320851655+0.16441568729410874j),(0.125103852701916+0.08267397246756643j),(0.12510385270191585+0.08267397246756635j),(0.20543180043403195+0.16454738857241186j)
18550000.8145,(0.20620815963338582+0.16427491681710849j),(0.1254287401329824+0.08253027351675285j),(0.1254287401329819+0.08253027351675266j),(0.206099134699493+0.16440710113864784j)
18600000.814,(0.20687369555694607+0.1641316392918734j),(0.1257524663309783+0.08238549997413314j),(0.12575246633097775+0.082385499974133j),(0.20676530052214392+0.16426430257152833j)
18650000.8135,(0.207538053949756+0.16398586367431395j),(0.1260750302710493+0.08223966058577935j),(0.12607503027104877+0.08223966058577911j),(0.20743029083992512+0.16411900182374697j)
18700000.813,(0.20820122784134415+0.16383759891012498j),(0.12639643098504355+0.08209276406242487j),(0.1263964309850447+0.08209276406242523j),(0.20809409864984907+0.16397120783803565j)
18750000.8125,(0.20886321031975563+0.16368685393454502j),(0.12671666756095468+0.0819448190792471j),(0.12671666756095562+0.08194481907924733j),(0.20875671700756343+0.1638209295469027j)
18800000.812,(0.20952399453110523+0.16353363767210882j),(0.12703573914235916+0.08179583427564914j),(0.12703573914235958+0.08179583427564924j),(0.20941813902687995+0.16366817587241753j)
18850000.811499998,(0.21018357367913384+0.16337795903641245j),(0.12735364492786203+0.08164581825505439j),(0.12735364492786141+0.08164581825505417j),(0.21007835787934984+0.16351295572594962j)
18900000.811,(0.21084194102473522+0.16321982692991013j),(0.12767038417054485+0.08149477958470107j),(0.1276703841705445+0.08149477958470094j),(0.21073736679376642+0.16335527800799202j)
18950000.8105,(0.21149908988553437+0.16305925024366813j),(0.12798595617741007+0.08134272679544764j),(0.12798595617740988+0.08134272679544757j),(0.21139515905579062+0.16319515160786532j)
19000000.81,(0.21215501363541084+0.162896237857179j),(0.12830036030883493+0.08118966838157864j),(0.12830036030883504+0.08118966838157858j),(0.21205172800743172+0.16303258540357643j)
19050000.809499998,(0.21280970570407684+0.16273079863813303j),(0.12861359597801938+0.08103561280061988j),(0.1286135959780196+0.08103561280061987j),(0.21270706704665146+0.16286758826155856j)
19100000.809,(0.2134631595766289+0.16256294144221367j),(0.12892566265044164+0.0808805684731582j),(0.12892566265044056+0.08088056847315779j),(0.2133611696269122+0.1627001690364745j)
19150000.8085,(0.2141153687931059+0.1623926751129032j),(0.12923655984331225+0.08072454378266425j),(0.12923655984331198+0.08072454378266423j),(0.21401402925670976+0.16253033657104582j)
19200000.808,(0.21476632694803155+0.16222000848130516j),(0.12954628712503607+0.08056754707532544j),(0.1295462871250356+0.08056754707532529j),(0.2146656394991854+0.16235809969580106j)
19250000.8075,(0.21541602769001922+0.16204495036591318j),(0.12985484411466797+0.08040958665987927j),(0.12985484411466702+0.08040958665987899j),(0.21531599397163234+0.1621834672289478j)
19300000.807,(0.2160644647212948+0.16186750957246615j),(0.130162230481375+0.08025067080745502j),(0.13016223048137474+0.08025067080745489j),(0.2159650863451205+0.16200644797612054j)
19350000.8065,(0.21671163179727818+0.16168769489375936j),(0.13046844594390583+0.08009080775141922j),(0.1304684459439057+0.08009080775141915j),(0.2166129103440103+0.16182705073025944j)
19400000.805999998,(0.21735752272616135+0.16150551510945066j),(0.13077349027005192+0.07993000568722738j),(0.1307734902700507+0.07993000568722695j),(0.2172594597455573+0.16164528427139227j)
19450000.8055,(0.21800213136845925+0.16132097898591782j),(0.13107736327611752+0.07976827277227844j),(0.1310773632761163+0.07976827277227812j),(0.21790472837946845+0.16146115736648173j)
19500000.805,(0.21864545163660656+0.1611340952760656j),(0.13138006482639175+0.07960561712577821j),(0.13138006482639167+0.07960561712577816j),(0.2185487101274839+0.16127467876924798j)
19550000.8045,(0.21928747749450586+0.1609448727191902j),(0.13168159483262276+0.0794420468286032j),(0.13168159483262307+0.07944204682860326j),(0.2191913989229481+0.16108585722001015j)
19600000.803999998,(0.21992820295713209+0.1607533200407942j),(0.131981953253491+0.07927756992317334j),(0.13198195325349177+0.07927756992317352j),(0.21983278875038662+0.16089470144552753j)
19650000.8035,(0.22056762209008013+0.16055944595247088j),(0.1322811400940907+0.0791121944133265j),(0.13228114009408865+0.07911219441332598j),(0.22047287364509063+0.1607012201588414j)
19700000.803,(0.22120572900917543+0.16036325915171973j),(0.1325791554054021+0.07894592826419809j),(0.13257915540540202+0.07894592826419806j),(0.22111164769268465+0.1605054220591446j)
19750000.8025,(0.22184251788004658+0.160164768321818j),(0.13287599928378716+0.07877877940210964j),(0.13287599928378635+0.07877877940210938j),(0.2217491050287376+0.16030731583159852j)
19800000.802,(0.22247798291769316+0.15996398213169713j),(0.13317167187046247+0.07861075571445535j),(0.13317167187046147+0.07861075571445503j),(0.2223852398383361+0.16010691014721232j)
19850000.8015,(0.2231121183861089+0.15976090923577238j),(0.1334661733509939+0.07844186504959795j),(0.13346617335099245+0.07844186504959755j),(0.2230200463556534+0.15990421366272542j)
19900000.801,(0.22374491859783946+0.15955555827384352j),(0.13375950395478364+0.07827211521676745j),(0.1337595039547828+0.07827211521676716j),(0.22365351886356807+0.15969923502044447j)
19950000.800499998,(0.22437637791359402+0.15934793787095064j),(0.1340516639545639+0.0781015139859649j),(0.1340516639545639+0.07810151398596488j),(0.22428565169324924+0.15949198284812124j)
20000000.8,(0.2250064907418299+0.1591380566372566j),(0.13434265366589182+0.07793006908787026j),(0.1343426536658922+0.0779300690878703j),(0.22491643922374557+0.15928246575883762j)
20050000.7995,(0.22563525153833863+0.15892592316794582j),(0.13463247344664692+0.07775778821375415j),(0.13463247344664697+0.0777577882137541j),(0.22554587588158975+0.15907069235087246j)
20100000.799,(0.2262626548058936+0.1587115460430496j),(0.13492112369652845+0.07758467901539519j),(0.13492112369652776+0.07758467901539501j),(0.22617395614038963+0.1588566712076023j)
20150000.798499998,(0.2268886950937743+0.15849493382742535j),(0.13520860485656241+0.07741074910500012j),(0.13520860485656083+0.07741074910499966j),(0.2268006745204442+0.15864041089736214j)
20200000.798,(0.2275133669974442+0.15827609507056273j),(0.13549491740860153+0.07723600605512962j),(0.13549491740860037+0.0772360060551293j),(0.22742602558833774+0.15842191997335736j)
20250000.7975,(0.22813666515811648+0.15805503830652762j),(0.13578006187483802+0.07706045739862698j),(0.13578006187483743+0.07706045739862681j),(0.22805000395653977+0.15820120697356005j)
20300000.797,(0.22875858426235426+0.15783177205387322j),(0.1360640388173104+0.07688411062855151j),(0.13606403881731025+0.07688411062855138j),(0.22867260428304398+0.15797828042057543j)
20350000.796499997,(0.2293791190417183+0.15760630481549473j),(0.13634684883741774+0.07670697319811595j),(0.1363468488374179+0.07670697319811592j),(0.2292938212709267+0.15775314882160538j)
20400000.796,(0.22999826427235048+0.15737864507857816j),(0.13662849257543275+0.0765290525206282j),(0.13662849257543316+0.07652905252062825j),(0.22991364966802882+0.15752582066827253j)
20450000.7955,(0.23061601477459717+0.1571488013144983j),(0.13690897071002311+0.07635035596943585j),(0.13690897071002298+0.07635035596943582j),(0.23053208426651245+0.15729630443660064j)
20500000.794999998,(0.23123236541263406+0.1569167819787263j),(0.13718828395776847+0.07617089087787554j),(0.1371882839577689+0.07617089087787565j),(0.2311491199025086+0.15706460858689386j)
20550000.7945,(0.23184731109407325+0.15668259551076302j),(0.13746643307268686+0.07599066453922688j),(0.13746643307268763+0.07599066453922707j),(0.23176475145574166+0.15683074156364454j)
20600000.794,(0.23246084676960024+0.1564462503340431j),(0.1377434188457588+0.07580968420666742j),(0.1377434188457603+0.07580968420666771j),(0.23237897384913409+0.15659471179548173j)
20650000.7935,(0.23307296743258787+0.1562077548558725j),(0.13801924210445735+0.0756279570932351j),(0.13801924210445807+0.07562795709323526j),(0.23299178204844406+0.15635652769507116j)
20700000.792999998,(0.23368366811873162+0.15596711746734931j),(0.13829390371227565+0.07544549037179099j),(0.13829390371227607+0.07544549037179103j),(0.23360317106190043+0.156116197659041j)
20750000.7925,(0.23429294390567557+0.15572434654329692j),(0.13856740456826616+0.07526229117498749j),(0.13856740456826533+0.07526229117498727j),(0.23421313593980858+0.1558737300679372j)
20800000.792,(0.2349007899126446+0.15547945044220007j),(0.13883974560657145+0.07507836659523977j),(0.13883974560657178+0.0750783665952398j),(0.23482167177421348+0.15562913328612063j)
20850000.7915,(0.23550720130007732+0.15523243750614904j),(0.13911092779597037+0.07489372368470107j),(0.1391109277959698+0.07489372368470092j),(0.23542877369851942+0.15538241566172062j)
20900000.790999997,(0.23611217326928088+0.1549833160607482j),(0.1393809521394122+0.07470836945524094j),(0.13938095213941176+0.07470836945524083j),(0.23603443688712683+0.15513358552657738j)
20950000.7905,(0.2367157010620273+0.15473209441512734j),(0.13964981967356846+0.0745223108784252j),(0.1396498196735684+0.07452231087842513j),(0.2366386565550775+0.1548826511961769j)
21000000.79,(0.2373177799602667+0.15447878086178843j),(0.1399175314683737+0.07433555488550472j),(0.13991753146837563+0.074335554885505j),(0.23724142795769243+0.1546296209696022j)
21050000.789499998,(0.23791840528568964+0.15422338367666621j),(0.14018408862658505+0.07414810836740077j),(0.14018408862658413+0.07414810836740052j),(0.23784274639022854+0.15437450312946768j)
21100000.789,(0.23851757239944868+0.15396591111898417j),(0.14044949228332015+0.07395997817469724j),(0.14044949228332057+0.07395997817469734j),(0.23844260718750324+0.15411730594189818j)
21150000.7885,(0.23911527670175217+0.1537063714312813j),(0.14071374360562883+0.0737711711176382j),(0.14071374360562816+0.07377117111763809j),(0.23904100572358883+0.15385803765642625j)
21200000.788,(0.2397115136315539+0.15344477283932254j),(0.14097684379204084+0.07358169396612277j),(0.1409768437920391+0.07358169396612238j),(0.23963793741140244+0.1535967065060322j)
21250000.787499998,(0.24030627866618137+0.15318112355209496j),(0.14123879407212933+0.07339155344970763j),(0.1412387940721296+0.07339155344970764j),(0.24023339770241686+0.15333332070702624j)
21300000.787,(0.24089956732101292+0.15291543176174532j),(0.14149959570607937+0.07320075625761303j),(0.1414995957060788+0.07320075625761284j),(0.24082738208629265+0.15306788845905023j)
21350000.7865,(0.24149137514913085+0.15264770564355692j),(0.14175924998424572+0.0730093090387279j),(0.14175924998424555+0.07300930903872785j),(0.24141988609054052+0.15280041794503513j)
21400000.786,(0.24208169774097402+0.1523779533559282j),(0.14201775822672955+0.07281721840162143j),(0.14201775822672982+0.07281721840162152j),(0.2420109052801887+0.15253091733116356j)
21450000.785499997,(0.2426705307240297+0.15210618304031046j),(0.14227512178294666+0.07262449091455771j),(0.14227512178294707+0.0726244909145577j),(0.24260043525744282+0.15225939476684588j)
21500000.785,(0.24325786976245486+0.15183240282124516j),(0.14253134203120535+0.07243113310550846j),(0.1425313420312038+0.07243113310550822j),(0.24318847166135124+0.1519858583846984j)
21550000.7845,(0.24384371055679588+0.15155662080627158j),(0.14278642037827652+0.07223715146217646j),(0.1427864203782766+0.07223715146217638j),(0.24377501016749126+0.15171031630049459j)
21600000.783999998,(0.24442804884362926+0.15127884508594855j),(0.143040358258986+0.07204255243201496j),(0.1430403582589854+0.07204255243201486j),(0.24436004648761714+0.15143277661317686j)
21650000.7835,(0.24501088039524702+0.15099908373382426j),(0.143293157135784+0.07184734242225314j),(0.14329315713578508+0.0718473424222533j),(0.24494357636936379+0.15115324740479788j)
21700000.783,(0.24559220101932877+0.15071734480642454j),(0.14354481849834405+0.07165152779992397j),(0.1435448184983444+0.07165152779992405j),(0.24552559559589338+0.1508717367405444j)
21750000.7825,(0.24617200655862936+0.15043363634323215j),(0.14379534386313922+0.07145511489189413j),(0.14379534386313994+0.07145511489189435j),(0.24610609998560398+0.15058825266868325j)
21800000.781999998,(0.2467502928906628+0.15014796636666825j),(0.14404473477304297+0.07125810998489746j),(0.14404473477304128+0.07125810998489715j),(0.2466850853917892+0.15030280322058134j)
21850000.7815,(0.24732705592736517+0.14986034288212j),(0.1442929927969142+0.07106051932556831j),(0.14429299279691457+0.07106051932556831j),(0.24726254770233974+0.1500153964106715j)
21900000.781,(0.24790229161481114+0.14957077387788748j),(0.1445401195292052+0.07086234912048303j),(0.14454011952920515+0.07086234912048299j),(0.24783848283942048+0.1497260402364558j)
21950000.7805,(0.24847599593287825+0.14927926732521726j),(0.144786116589551+0.07066360553619783j),(0.14478611658955015+0.07066360553619769j),(0.24841288675916465+0.14943474267849677j)
22000000.779999997,(0.24904816489496462+0.1489858311782664j),(0.14503098562237493+0.07046429469929298j),(0.1450309856223742+0.0704642946992928j),(0.24898575545136462+0.14914151170041784j)
22050000.7795,(0.24961879454765773+0.14869047337413382j),(0.1452747282964955+0.07026442269641804j),(0.1452747282964948+0.07026442269641794j),(0.24955708493916967+0.14884635524888915j)
22100000.779,(0.25018788097045186+0.14839320183283786j),(0.1455173463047312+0.07006399557433987j),(0.14551734630473123+0.07006399557433983j),(0.25012687127877853+0.14854928125364422j)
22150000.7785,(0.25075542027543585+0.1480940244573327j),(0.14575884136351386+0.06986301933999363j),(0.1457588413635123+0.06986301933999335j),(0.2506951105591444+0.14825029762746744j)
22200000.778,(0.25132140860699514+0.14779294913352042j),(0.14599921521249637+0.06966149996053296j),(0.14599921521249604+0.0696614999605329j),(0.25126179890167405+0.14794941226620856j)
22250000.7775,(0.25188584214152615+0.14748998373023878j),(0.14623846961417633+0.06945944336338851j),(0.14623846961417553+0.06945944336338833j),(0.25182693245993026+0.14764663304878498j)
22300000.777,(0.25244871708713224+0.1471851360992913j),(0.14647660635350748+0.06925685543632162j),(0.14647660635350648+0.06925685543632151j),(0.2523905074193441+0.14734196783719133j)
