f,S11,S12,S21,S22
1250000.9875,(0.001788304306046933+0.022832417873815562j),(0.0014972021726867976+0.014252697831590406j),(0.0014972021726867963+0.01425269783159039j),(0.0017524213863971394+0.022780790177859635j)
1300000.987,(0.0019195341875951036+0.023733234575910672j),(0.0015943906156174151+0.014810050594871034j),(0.0015943906156174153+0.014810050594871034j),(0.0018826376006797294+0.023680808473772505j)
1350000.9864999999,(0.002055547084567691+0.024633067678377484j),(0.0016948375995746838+0.01536654608581791j),(0.0016948375995746818+0.015366546085817888j),(0.0020176405337804263+0.02457987321032834j)
1400000.986,(0.0021963388844927784+0.02553189041078611j),(0.001798543157527691+0.01592216557135655j),(0.0017985431575276896+0.015922165571356534j),(0.0021574257546189586+0.025477956409100562j)
1450000.9855,(0.002341904847893182+0.02642967565897741j),(0.0019055064189073701+0.01647688982408932j),(0.0019055064189073684+0.016476889824089302j),(0.0023019882463580976+0.02637502985429111j)
1500000.9849999999,(0.0024922396539789715+0.027326396018946437j),(0.0020157256918582824+0.01703069919327281j),(0.002015725691858282+0.017030699193272797j),(0.0024513224468145005+0.02727106513383374j)
1550000.9845,(0.0026473374396488274+0.028222023843189434j),(0.002129198533333247+0.01758357366572613j),(0.002129198533333247+0.01758357366572613j),(0.00260542228299081+0.028166033674857302j)
1600000.984,(0.0028071918329830776+0.02911653128082997j),(0.002245921809192576+0.018135492918426813j),(0.002245921809192575+0.018135492918426806j),(0.00276428120076533+0.02905990677448982j)
1650000.9834999999,(0.002971795982191755+0.030009890312573593j),(0.002365891746031578+0.01868643636419866j),(0.0023658917460315757+0.01868643636419865j),(0.0029278921905907117+0.029952655626788026j)
1700000.983,(0.00314114258078671+0.030902072781336175j),(0.002489103976121011+0.019236383191622058j),(0.00248910397612101+0.019236383191622044j),(0.0030962478098663995+0.03084425134642348j)
1750000.9825,(0.003315223889592607+0.0317930504192326j),(0.002615553576580893+0.019785312400084083j),(0.0026155535765808916+0.019785312400084066j),(0.003269340202540179+0.03173466498963784j)
1800000.9819999998,(0.003494031756106379+0.032682794871484865j),(0.0027452351037001313+0.02033320283071702j),(0.002745235103700129+0.02033320283071701j),(0.0034471611163705267+0.03262386757288549j)
1850000.9815,(0.003677557631617273+0.03357127771770977j),(0.002878142623149786+0.020880033193840374j),(0.0028781426231497833+0.020880033193840353j),(0.0036297019182244717+0.033511830089507914j)
1900000.981,(0.0038657925864256718+0.03445847049096615j),(0.003014269736706436+0.021425782093414582j),(0.0030142697367064363+0.02142578209341458j),(0.0038169536077019375+0.03439852352472267j)
