9,1.3,1,0.8,0.013776436,0.018851225,0.025921787,0.036126596,0.051578388,0.076511967,0.120291963,0.205818896,0.390682203,0.744365429,0.800304868,0.383934494,0.17031001,0.084020075,0.044401677,0.023891151,0.012383202,0.00569598,0.001941013,0.000237459,0.000227955,0.001878557,0.00540429,0.011266164,0.02020864,0.033345935,0.05222544,0.078844617,0.115062988,0.159505737,0.190414966,0.071058275,0.756112724,0.834895794,0.672992586,0.35677624,0.076096699,0.010613222,0.16073254,0.432586522,0.685544347,0.837920175,0.897920351,0.906007778,0.893698841,0.878548938,0.868497799,0.866968831,0.8742113,0.888263137,0.903565731,0.909151547,0.891639521,0.833028641,0.722897729,0.575490036,0.424594678,0.293044364,0.193583932,0.124079674,0.078739422
8,1.3,1.5,1,0.001488888,0.00193668,0.002503041,0.003230679,0.00418721,0.005485296,0.007325332,0.010094758,0.014630049,0.02304957,0.042102327,0.102997048,0.437976509,0.247224802,0.037591654,0.010491524,0.003230221,0.000783277,5.24E-05,0.000128288,0.000699706,0.001667857,0.003029401,0.004837159,0.007188695,0.010227612,0.014151862,0.01923521,0.025848688,0.034504701,0.045913375,0.061082922,0.081433419,0.108973161,0.146525515,0.197862325,0.267409824,0.358531975,0.467465958,0.565616042,0.51738478,0.231312504,0.664302386,0.586318919,0.450393833,0.300480844,0.149858977,0.023215679,0.087485401,0.562621817,0.838500898,0.843645727,0.807421962,0.782367673,0.774547625,0.782347324,0.803331435,0.833867639,0.868018233,0.896497681,0.90595389
8.5,1.1,2,0.2,0.011053983,0.015082007,0.020663625,0.028665489,0.040681201,0.059877555,0.093224797,0.157897395,0.300563436,0.618141042,0.844545624,0.430976257,0.180948027,0.086387646,0.045222749,0.024591611,0.013195657,0.00656311,0.002697393,0.000660936,2.45E-05,0.000643156,0.002564992,0.005997753,0.011312482,0.01906877,0.030074686,0.045451459,0.066737341,0.096042666,0.136128075,0.188809898,0.257092773,0.347790729,0.442965952,0.361145426,0.796930988,0.737416918,0.072695964,0.417978209,0.739969106,0.871793845,0.914869223,0.92214306,0.914745855,0.908690939,0.904222542,0.904944862,0.910589306,0.918851131,0.925224074,0.92227551,0.900766571,0.851922302,0.773008976,0.667903907,0.550284493,0.435209672,0.333743306,0.250168262,0.185121274
8.5,0.5,0.5,0.8,0.020378179,0.029032084,0.041952703,0.062177024,0.095856944,0.156461964,0.275279936,0.514916861,0.849744366,0.768334003,0.414954031,0.216043773,0.121466147,0.072468697,0.0444216,0.027000583,0.015539639,0.007808556,0.002797564,0.000280261,0.000780579,0.005920379,0.01938241,0.049050012,0.109123976,0.179084058,0.307042068,0.365071987,0.081269586,0.002915183,0.097228968,0.365779379,0.67068889,0.836746211,0.884661194,0.89277163,0.894463848,0.885702347,0.837059192,0.714063795,0.525849396,0.337714596,0.199594874,0.114133313,0.064891557,0.037052003,0.021272661,0.012249247,0.007179035,0.004178306,0.002481876,0.001547538,0.001070426,0.000893514,0.000972398,0.00141597,0.002619564,0.00581864,0.01497114,0.045814342,0.182775797
8.5,1.3,1,0.4,0.010003819,0.013572975,0.018467772,0.025398755,0.03565313,0.051746377,0.079115266,0.130963574,0.24370611,0.513362154,0.861990765,0.480869475,0.185175014,0.081806144,0.039900519,0.020011106,0.0095897,0.003927623,0.001037959,3.90E-05,0.000584021,0.002634629,0.006374497,0.012192195,0.020699296,0.032789823,0.049700907,0.07310185,0.105203402,0.148743114,0.206935292,0.277934144,0.371282816,0.475862841,0.525759287,0.742157313,0.843764239,0.817734292,0.759379697,0.905829167,0.920095604,0.913490611,0.903015544,0.895438659,0.893468221,0.898914044,0.908046056,0.916404692,0.914290639,0.888255546,0.824200974,0.717783592,0.581649171,0.4423791,0.319109618,0.222647215,0.152130948,0.102528385,0.069024565,0.045658628,0.029910354
8,1.3,1,0.2,0.008579191,0.011615861,0.015760849,0.021594218,0.03015561,0.043453853,0.065761624,0.107357651,0.196658985,0.417378775,0.823846583,0.553084145,0.202315451,0.085265072,0.040456309,0.019948007,0.009447123,0.003827603,0.000992774,3.49E-05,0.000608598,0.002689283,0.006486542,0.012431538,0.021204301,0.033808914,0.051647948,0.076663559,0.111423625,0.158701715,0.222888496,0.306473824,0.410338887,0.530164091,0.6539919,0.761826464,0.806500488,0.881737294,0.881045006,0.581931064,0.861835954,0.908243709,0.908238873,0.90549079,0.907972474,0.91466152,0.920706172,0.916947932,0.89118529,0.831574031,0.73233794,0.604817958,0.470730857,0.349800575,0.253899851,0.180592621,0.127407543,0.089403206,0.062691233,0.043774361,0.03034943
8.5,0.3,1.5,0.4,0.025771716,0.037356494,0.05516072,0.084028956,0.134147722,0.228306562,0.415243752,0.737142211,0.893428681,0.586190312,0.316038287,0.179098396,0.108975144,0.069628329,0.04552418,0.029648063,0.018578252,0.010570228,0.004792311,0.00109459,0.000211392,0.004893108,0.024464597,0.095477467,0.284380621,0.033175977,0.026669278,0.003327146,0.003191243,0.027682304,0.087224324,0.198936268,0.372035649,0.579551614,0.756295067,0.859317091,0.900650914,0.91211572,0.91455652,0.913125768,0.900384136,0.859266476,0.771864088,0.637283999,0.481468542,0.338898453,0.228713675,0.151451348,0.099879699,0.066117043,0.043930688,0.029283125,0.019516084,0.012949972,0.008499479,0.005504074,0.003451151,0.002072864,0.001163467,0.000593605,0.000256698
8.5,0.7,0.5,0.8,0.017068973,0.023948778,0.033955559,0.049137183,0.073485641,0.115475053,0.194661461,0.357293079,0.67093407,0.88121847,0.547038263,0.266150858,0.138410191,0.07764494,0.045308083,0.026417636,0.014657135,0.007134704,0.002507871,0.00027085,0.000513659,0.003934599,0.01208681,0.02790792,0.056700994,0.107071982,0.185231449,0.213120569,0.600287019,0.580996473,0.162680007,0.009650359,0.238492227,0.600917911,0.813670044,0.881369563,0.893496701,0.895181596,0.896573927,0.886128635,0.835589881,0.715234208,0.534991779,0.351935352,0.212980686,0.124041823,0.071406141,0.041079492,0.0236885,0.013662687,0.007913705,0.004623802,0.002781859,0.001802418,0.001364886,0.001330138,0.001837718,0.003447101,0.008300116,0.024886468,0.098753218
9.5,1.3,2,1,0.0110122,0.015089608,0.020791031,0.029061051,0.041666866,0.062205033,0.098815423,0.172249075,0.33983499,0.700077511,0.779750044,0.347511047,0.149976371,0.074299617,0.040132596,0.022469913,0.012452071,0.006466085,0.002858738,0.000839925,4.61E-05,0.000361961,0.00185068,0.004732616,0.009396485,0.016396882,0.026378289,0.039570889,0.053580559,0.054737357,0.009132753,0.395451595,0.700919914,0.588089417,0.390216619,0.232367629,0.132416794,0.070031704,0.031717903,0.009608315,0.000892989,0.005490389,0.027851318,0.073224069,0.156386387,0.285959479,0.459440244,0.650114483,0.802399588,0.881864161,0.896728875,0.87584634,0.843204294,0.811972508,0.787852019,0.772647764,0.766532652,0.769131899,0.779809511,0.797707128,0.821568903
9.5,0.7,1.5,1.2,0.024040595,0.034679372,0.050946336,0.07721042,0.122706562,0.208410292,0.381503148,0.696552734,0.885748873,0.584652227,0.308541339,0.172408721,0.104570641,0.067363569,0.045065778,0.030730349,0.021005355,0.014159232,0.009267659,0.005864282,0.003813943,0.003636162,0.012280881,0.162021831,0.706976219,0.711764992,0.295888561,0.105092518,0.039175678,0.018498745,0.005348294,0.00045647,0.001624862,0.009356366,0.025923237,0.055606233,0.105360783,0.177316337,0.286211711,0.439337512,0.6107023,0.762372503,0.859342402,0.897400021,0.897918107,0.884758106,0.873393508,0.870679676,0.87800626,0.891586398,0.903469864,0.893578484,0.83898895,0.72524762,0.568214484,0.405295037,0.27012343,0.172321744,0.106881084,0.064686207,0.037995699
