9,1.3,1,0.8,0.25,-0.103448276
8,1.3,1.5,1,0.75,0.586206897
8.5,1.1,2,0.2,0.25,0.172413793
8.5,0.5,0.5,0.8,-0.25,-0.517241379
8.5,1.3,1,0.4,0.25,0.379310345
8,1.3,1,0.2,0.25,0.24137931
8.5,0.3,1.5,0.4,-0.25,-0.655172414
8.5,0.7,0.5,0.8,0,-0.379310345
9.5,1.3,2,1,0.25,-0.103448276
9.5,0.7,1.5,1.2,-0.25,-0.655172414
8,0.5,1,0.8,0,-0.379310345
8,1.1,1,1.2,0.75,0.034482759
8,0.7,1,0.2,0,-0.103448276
8,1.1,2,0.4,0.5,0.448275862
9.5,0.7,0.5,1.2,-0.5,-0.586206897
9.5,0.7,0.5,0.2,-0.75,-0.724137931
9.5,1.3,0.5,0.6,-0.25,-0.24137931
9,0.9,2,1,0.25,-0.24137931
9,0.7,2.5,1.2,0.25,-0.310344828
8.5,0.9,2,1.2,0.5,0.034482759
9,0.7,2.5,0.2,-0.25,-0.24137931
8.5,0.7,2,0.8,0.25,-0.24137931
9.5,1.1,2,0.2,-0.25,-0.24137931
9.5,0.7,0.5,0.8,-0.5,-0.724137931
9,0.9,2.5,0.8,0.25,-0.103448276
9,1.3,2,0.6,0.25,0.172413793
8.5,0.5,1,0.2,-0.25,-0.448275862
9.5,0.5,2,1.2,-0.25,-0.724137931
9,0.9,0.5,0.2,-0.25,-0.379310345
9,0.9,0.5,0.6,-0.25,-0.310344828
9,0.7,2,0.8,0,-0.379310345
9,1.3,1,0.6,0,-0.034482759
8,0.9,0.5,1.2,0.5,-0.103448276
9,0.3,1.5,0.6,-0.5,-0.793103448
9.5,1.3,0.5,0.4,-0.25,-0.24137931
8,0.9,2.5,1,0.75,0.24137931
9.5,1.1,1.5,0.4,-0.25,-0.310344828
9.5,1.3,0.5,0.8,-0.25,-0.310344828
9.5,0.3,1.5,0.8,-0.75,-0.862068966
9,1.1,1,1.2,0,-0.24137931
8.5,0.5,1.5,1,0,-0.517241379
9.5,0.5,2.5,0.4,-0.5,-0.586206897
9,1.3,1,0.2,0,-0.034482759
8.5,0.5,2.5,0.6,0,-0.24137931
9.5,0.7,1.5,0.4,-0.5,-0.586206897
8,0.7,0.5,0.4,0,0.172413793
9.5,0.3,0.5,1.2,-0.75,-0.931034483
8.5,1.1,0.5,1,0.25,-0.034482759
8,0.3,1.5,0.4,-0.25,-0.517241379
8.5,0.9,0.5,1,0.25,-0.172413793
9.5,1.3,2,0.6,0,-0.103448276
9.5,0.5,2.5,0.6,-0.25,-0.586206897
8.5,0.9,0.5,0.8,0.25,-0.172413793
9,1.3,0.5,0.8,0,-0.103448276
8.5,1.3,0.5,0.2,0,0.310344828
9,1.1,0.5,0.6,0,-0.172413793
8,1.1,1.5,1,0.75,0.310344828
8.5,0.9,2,1,0.5,-0.034482759
8,1.1,2.5,0.4,0.5,0.586206897
9.5,0.7,1,0.6,-0.5,-0.655172414
8,1.3,2,0.8,0.75,0.655172414
9.5,0.3,2.5,0.4,-0.5,-0.793103448
9,1.3,0.5,0.4,0,-0.034482759
8.5,0.7,1.5,0.4,0,-0.24137931
9.5,0.9,0.5,1,-0.5,-0.586206897
9,1.1,0.5,1.2,0,-0.172413793
9.5,1.3,1.5,1,0,-0.24137931
9.5,1.1,1,0.6,-0.25,-0.379310345
8.5,0.3,2,0.8,0,-0.586206897
8.5,0.9,2.5,1,0.5,0.034482759
8.5,0.5,2,1,0.25,-0.448275862
9,0.7,1,0.8,-0.25,-0.517241379
8.5,0.9,1,0.4,0,-0.103448276
8,1.1,1.5,0.4,0.5,0.517241379
8.5,0.7,0.5,0.6,0,-0.310344828
